deposit the first,age,gender,gift,mobile banking,special benefits,label
2000,25,Both,no,yes,yes,Yes Account - People's Bank
2800,30,Both,no,yes,yes,Yes Account - People's Bank
3200,34,Both,no,yes,yes,Yes Account - People's Bank
3900,35,Both,no,yes,yes,Yes Account - People's Bank
4000,36,Both,no,yes,yes,Yes Account - People's Bank
4100,37,Both,no,yes,yes,Yes Account - People's Bank
4600,42,Both,no,yes,yes,Yes Account - People's Bank
4700,43,Both,no,yes,yes,Yes Account - People's Bank
4800,44,Both,no,yes,yes,Yes Account - People's Bank
4900,45,Both,no,yes,yes,Yes Account - People's Bank
5000,18,Both,no,yes,yes,Yes Account - People's Bank
5400,19,Both,no,yes,yes,Yes Account - People's Bank
5500,20,Both,no,yes,yes,Yes Account - People's Bank
5600,21,Both,no,yes,yes,Yes Account - People's Bank
5700,22,Both,no,yes,yes,Yes Account - People's Bank
5800,23,Both,no,yes,yes,Yes Account - People's Bank
5900,24,Both,no,yes,yes,Yes Account - People's Bank
6300,25,Both,no,yes,yes,Yes Account - People's Bank
6400,26,Both,no,yes,yes,Yes Account - People's Bank
6500,27,Both,no,yes,yes,Yes Account - People's Bank
7000,28,Both,no,yes,yes,Yes Account - People's Bank
7100,29,Both,no,yes,yes,Yes Account - People's Bank
7200,30,Both,no,yes,yes,Yes Account - People's Bank
7300,31,Both,no,yes,yes,Yes Account - People's Bank
7400,32,Both,no,yes,yes,Yes Account - People's Bank
7500,33,Both,no,yes,yes,Yes Account - People's Bank
7600,34,Both,no,yes,yes,Yes Account - People's Bank
8400,35,Both,no,yes,yes,Yes Account - People's Bank
8900,36,Both,no,yes,yes,Yes Account - People's Bank
9000,37,Both,no,yes,yes,Yes Account - People's Bank
9100,38,Both,no,yes,yes,Yes Account - People's Bank
9200,39,Both,no,yes,yes,Yes Account - People's Bank
9300,40,Both,no,yes,yes,Yes Account - People's Bank
9400,41,Both,no,yes,yes,Yes Account - People's Bank
9500,42,Both,no,yes,yes,Yes Account - People's Bank
9600,43,Both,no,yes,yes,Yes Account - People's Bank
9700,44,Both,no,yes,yes,Yes Account - People's Bank
9800,45,Both,no,yes,yes,Yes Account - People's Bank
9900,34,Both,no,yes,yes,Yes Account - People's Bank
10000,43,Both,no,yes,yes,Yes Account - People's Bank
10100,26,Both,no,yes,yes,Yes Account - People's Bank
10200,38,Both,no,yes,yes,Yes Account - People's Bank
10300,22,Both,no,yes,yes,Yes Account - People's Bank
10400,29,Both,no,yes,yes,Yes Account - People's Bank
10500,41,Both,no,yes,yes,Yes Account - People's Bank
10600,39,Both,no,yes,yes,Yes Account - People's Bank
11000,18,Both,no,yes,yes,Yes Account - People's Bank
13000,19,Both,no,yes,yes,Yes Account - People's Bank
15000,20,Both,no,yes,yes,Yes Account - People's Bank
17000,21,Both,no,yes,yes,Yes Account - People's Bank
19000,22,Both,no,yes,yes,Yes Account - People's Bank
21000,23,Both,no,yes,yes,Yes Account - People's Bank
23000,24,Both,no,yes,yes,Yes Account - People's Bank
25000,25,Both,no,yes,yes,Yes Account - People's Bank
27000,26,Both,no,yes,yes,Yes Account - People's Bank
29000,27,Both,no,yes,yes,Yes Account - People's Bank
31000,28,Both,no,yes,yes,Yes Account - People's Bank
33000,29,Both,no,yes,yes,Yes Account - People's Bank
35000,30,Both,no,yes,yes,Yes Account - People's Bank
37000,31,Both,no,yes,yes,Yes Account - People's Bank
