Bank,Account,Type,age,Deposit_ammount,Gift,Rate,Special_benefits,Mobile_banking,Profit_rupees
Peoples Bank,Isuru Udana,Children,1,1100,Yes,1,Yes,No,11
Peoples Bank,Isuru Udana,Children,2,1500,Yes,1,Yes,No,15
Peoples Bank,Isuru Udana,Children,3,500,Yes,1,Yes,No,5
Peoples Bank,Isuru Udana,Children,5,1280,Yes,1,Yes,No,12.8
Peoples Bank,Isuru Udana,Children,2,5400,Yes,1,Yes,No,54
Peoples Bank,Isuru Udana,Children,1,10000,Yes,1,Yes,No,100
Peoples Bank,Isuru Udana,Children,3,12800,Yes,1,Yes,No,128
Peoples Bank,Isuru Udana,Children,1,43000,Yes,1,Yes,No,430
Peoples Bank,Isuru Udana,Children,4,28000,Yes,1,Yes,No,280
Peoples Bank,Isuru Udana,Children,2,3200,Yes,1,Yes,No,32
Peoples Bank,Isuru Udana,Children,5,7600,Yes,1,Yes,No,76
Peoples Bank,Isuru Udana,Children,1,100,Yes,1,Yes,No,1
Peoples Bank,Isuru Udana,Children,1,350,Yes,1,Yes,No,3.5
Peoples Bank,Isuru Udana,Children,1,700,Yes,1,Yes,No,7
Peoples Bank,Sisu Udana,Children,6,10000,Yes,2,Yes,No,200
Peoples Bank,Sisu Udana,Children,8,25000,Yes,2,Yes,No,500
Peoples Bank,Sisu Udana,Children,9,250,Yes,2,Yes,No,5
Peoples Bank,Sisu Udana,Children,11,480,Yes,2,Yes,No,9.6
Peoples Bank,Sisu Udana,Children,13,800,Yes,2,Yes,No,16
Peoples Bank,Sisu Udana,Children,12,36000,Yes,2,Yes,No,720
Peoples Bank,Sisu Udana,Children,7,12400,Yes,2,Yes,No,248
Peoples Bank,Sisu Udana,Children,9,55600,Yes,2,Yes,No,1112
Peoples Bank,Sisu Udana,Children,15,84000,Yes,2,Yes,No,1680
Peoples Bank,Sisu Udana,Children,18,4100,Yes,2,Yes,No,82
Peoples Bank,Sisu Udana,Children,17,3200,Yes,2,Yes,No,64
Peoples Bank,Sisu Udana,Children,10,78000,Yes,2,Yes,No,1560
Peoples Bank,Sisu Udana,Children,14,9600,Yes,2,Yes,No,192
Commercial Bank,Arunalu,Children,4,400,No,4,Yes,No,16
Commercial Bank,Arunalu,Children,2,6000,No,4,Yes,No,240
Commercial Bank,Arunalu,Children,6,24000,No,4,Yes,No,960
Commercial Bank,Arunalu,Children,7,300,No,4,Yes,No,12
Commercial Bank,Arunalu,Children,9,17900,No,4,Yes,No,716
Commercial Bank,Arunalu,Children,13,250,No,4,Yes,No,10
Commercial Bank,Arunalu,Children,4,5200,No,4,Yes,No,208
Commercial Bank,Arunalu,Children,16,36000,No,4,Yes,No,1440
Commercial Bank,Arunalu,Children,1,7500,No,4,Yes,No,300
Commercial Bank,Arunalu,Children,17,65000,No,4,Yes,No,2600
Commercial Bank,Arunalu,Children,3,2400,No,4,Yes,No,96
Commercial Bank,Arunalu,Children,5,18500,No,4,Yes,No,740
Commercial Bank,Arunalu,Children,16,3500,No,4,Yes,No,140
Commercial Bank,Arunalu,Children,10,680,No,4,Yes,No,27.2
Commercial Bank,Arunalu,Children,9,1000,No,4,Yes,No,40
Sampath Bank,Pubudu,Children,5,5000,Yes,4,No,No,200
Sampath Bank,Pubudu,Children,3,11300,Yes,4,No,No,502
Sampath Bank,Pubudu,Children,1,24000,Yes,4,No,No,960
Sampath Bank,Pubudu,Children,6,500,Yes,4,No,No,20
Sampath Bank,Pubudu,Children,18,850,Yes,4,No,No,34
Sampath Bank,Pubudu,Children,12,34000,Yes,4,No,No,1360
Sampath Bank,Pubudu,Children,4,1200,Yes,4,No,No,48
Sampath Bank,Pubudu,Children,6,75000,Yes,4,No,No,3000
