deposit_the_first,age,gender,gift,rates,special_benefits,account_type
70253,32,Both,No,3.5,No,0
64711,26,Both,No,3.5,No,0
44262,45,Both,No,3.5,No,0
96090,47,Both,No,3.5,No,0
95396,27,Both,No,3.5,No,0
27926,37,Both,No,3.5,No,0
23992,27,Both,No,3.5,No,0
64779,36,Both,No,3.5,No,0
90755,42,Both,No,3.5,No,0
39134,33,Both,No,3.5,No,0
95201,19,Both,No,3.5,No,0
5224,37,Both,No,3.5,No,0
18860,21,Both,No,3.5,No,0
23023,39,Both,No,3.5,No,0
38471,24,Both,No,3.5,No,0
10483,48,Both,No,3.5,No,0
82404,50,Both,No,3.5,No,0
37310,19,Both,No,3.5,No,0
18140,49,Both,No,3.5,No,0
59574,29,Both,No,3.5,No,0
34971,50,Both,No,3.5,No,0
82073,30,Both,No,3.5,No,0
2111,26,Both,No,3.5,No,0
32594,25,Both,No,3.5,No,0
62129,44,Both,No,3.5,No,0
30761,39,Both,No,3.5,No,0
42291,44,Both,No,3.5,No,0
34438,49,Both,No,3.5,No,0
80757,42,Both,No,3.5,No,0
81794,45,Both,No,3.5,No,0
21155,34,Both,No,3.5,No,0
63327,21,Both,No,3.5,No,0
53910,46,Both,No,3.5,No,0
76621,20,Both,No,3.5,No,0
76829,34,Both,No,3.5,No,0
7488,46,Both,No,3.5,No,0
3224,46,Both,No,3.5,No,0
19880,20,Both,No,3.5,No,0
67172,21,Both,No,3.5,No,0
98647,39,Both,No,3.5,No,0
90096,37,Both,No,3.5,No,0
74566,26,Both,No,3.5,No,0
60518,21,Both,No,3.5,No,0
31232,22,Both,No,3.5,No,0
68325,49,Both,No,3.5,No,0
84811,26,Both,No,3.5,No,0
35228,37,Both,No,3.5,No,0
42166,32,Both,No,3.5,No,0
52842,35,Both,No,3.5,No,0
81938,39,Both,No,3.5,No,0
76187,44,Both,No,3.5,No,0
41462,30,Both,No,3.5,No,0
41121,22,Both,No,3.5,No,0
72104,33,Both,No,3.5,No,0
61851,35,Both,No,3.5,No,0
23578,30,Both,No,3.5,No,0
96036,38,Both,No,3.5,No,0
28317,32,Both,No,3.5,No,0
95839,49,Both,No,3.5,No,0
90794,26,Both,No,3.5,No,0
75866,36,Both,No,3.5,No,0
43367,31,Both,No,3.5,No,0
58627,19,Both,No,3.5,No,0
32988,34,Both,No,3.5,No,0
90944,18,Both,No,3.5,No,0
18155,42,Both,No,3.5,No,0
47253,30,Both,No,3.5,No,0
93735,24,Both,No,3.5,No,0
63602,29,Both,No,3.5,No,0
40724,36,Both,No,3.5,No,0
81011,19,Both,No,3.5,No,0
49546,48,Both,No,3.5,No,0
